,text
0,click world news
1,great accomplishment uk surely electing dark skinned man key fixing country
2,another suit pretending represent people
3,man world economic forum pushing digital currency scary people
4,congratulations celebrate dipavali downing st inviting white supremacists
5,never heard
6,regime change right face stupid brits applaud uk country brain dead beer drinkers stick elites jerking chains endlessly act like roller coaster ride amusement far mighty fallen next decades victims elite uk win idiot prize play stupid win stupid prizes enjoy serfdom bone heads
7,proud rishi sunak
8,deserve ice cream licking back years looting colonies
9,made history minutes ago took leak leak never happen
10,first person color saying gets time first british asian prime minister britain
11,big deal ly poc make big deal uk hill
12,terrible news reporting two wake bed together come back nooner eating big fat burger
13,loathe whole person colour thing significant best man job
14,sending white supremacists caves
15,wow best luck rishi
16,sunak pm making history nothing uk
17,fact poc really relevant given clueless billionaire
18,good openly gay gotta check boxes
19,looks like far right wingies side pond liking see happen uk
20,anybody else excited day firsts done choose people excellence policy ideas competence governing seemingly far fetched concepts like
21,weele spining indian colony
22,congratulations
23,cares omg enough hate bs going smh
24,capitalists take care stooges
25,makes history
26,winston churchill would rolling grave right
27,greetings united states heck going u k recent prime minister quit weeks office hopefully guys get worked issues west needs strong china rising good luck peace
28,bankers running world
29,difficulty news anchors appreciate guy achievement shame cbs
30,best best decision ever made may god guide keep awesome
31,sunak hits wef buttons diverse married multi millionaire nothing benefit citizenry uk vote sunak coup tat democracy
32,basically brittish version trump policy wise
33,matter poc chosen based skills b real question last longer lettuce
34,another fall guy
35,congratulations armenia
36,yes go rishi sunak
37,black white hindi side people side capitalists
38,congrats fellow indian brother
39,sure need corrupt world economic formum globalist cronie
40,let see long one lasts lol
41,britain conquered india india conquered britain britain fallen
42,uk strong country descending former members colonized nation prime minister equal opportunities fair society uk owe reparations anybody provided english language english way government school world happens dominant way efficient way
43,successful prior joining politics concern news anchors one asks politicians come nothing close common man become multimillionaires
44,prior pm people lacking color got
45,else fails affirmative action
46,guy cannot become prime minister india kenya parents came according law born u k deserve seat according qualifications
47,yeeeeeeahjust like u made history installing worst vp history country
48,wef bankster apparatchik tasked enrolling uk populace cbdc ubi ccp style social credit ruled nightmare panopticon
49,nothing british non christian guy name rishi sunak
50,hey gonna need young hip president relate guy
51,man installed voted remains seen whether people following money also please stop degrading people talking color matters care pastel purple matters job fact brown
52,another official elected people whos wedded wef could possibly go wrong
53,seems like nobody else wants job
54,rishi task
55,well yes first non christian son immigrants background private school oxford everyone else yeah hold breath
56,hardly history people vote
57,good luck india
58,people dont care feelings live paying stuff im mexican work construction trucks heavy equipment use diesel buy steel lumber im hurting think voting democrat sent billions ukraine somehow got lost yet im paying bag cement dont think democrats years pull immigration race card holes delivered
