,CONTENT,CLASS
0,love much also generate free leads auto pilot amp,1
1,vote sones please vips please help us gt lt,1
2,hey guys please join fight help abused mistreated animals fund go helping pay vet bills helping find homes place extra emphasis helping disabled animals ones otherwise would put sleep animal organizations donate please,1
3,song,1
4,hey everyone watch trailer,1
5,check rapping hope guys like follow message,1
6,subscribe pleaaaase instagram account subscribe back,1
7,hey guys visit channel pleaase searching dream,1
8,nice,1
9,,1
10,hey guys glamour beauty started youtube channel please go check going post singing videos also random videos fell like please go subscribe come soon remember subscribe,1
11,hey guys mom said got subs christmas get kitten always wanted kitten please watch videos like subscribe like please mean comments,1
12,,1
13,,1
14,please check stuff make feedback,1
15,take break katie help reach subscribers month new music free downloads,1
16,subscribe please,1
17,check covers video coming please subscribe,1
18,subscribe channel,1
19,hey guys small youtuber upload videos nearly every single day hope like shikas please give mins life view channel new video watch anime free pretty sure wont regret visiting channel thank,1
20,please join voice liked shared please win audition score thanks much,1
21,katy perry u sit face please would really awesome give dollars ok want please call subscribe channel first ok thats good u sit face ill get erection sit k,1
22,top youtube top views miley cyrus,1
23,people talented talented sponsor,1
24,really love video,1
25,hi guys check awesome edm amp house mix thanks lot,1
26,hiya started youtube would mean lot could subscribe watch first video xx,1
27,watch maroon latest nd single v always www youtube com watch v tq fuau,1
28,help please,1
29,download make money today,1
30,,1
31,lt script gt document write lt target _self href gt check new arive ebay lt gt lt img style text decoration none border padding margin src gt lt script gt lt noscript gt lt target _self href gt check new arive ebay lt gt lt img style text decoration none border padding margin src gt lt noscript gt,1
32,votekatyperry mtv vma best lyric video see lead vote,1
33,,1
34,hello marian singer venezuela part boy girl band named cubik singing cause wanted play pop pop rock songs would mean lot could look channel check music watch new video u like subscribe xoxo thanks ps like lot channel share friends haha lol marian,1
35,katy perry remind tiger like spirit animal lt,0
36,south american jungle jungle matter find african elephant bengal tiger place made video,0
37,,1
38,ima rapper trying get notice please check mixtape datpiff com mixtapes detail php id,1
39,good song like video clip bout girl airplane crashed land far far away found way survive love pet tiget kitty purpy lol,0
40,help click subscribe mai nguyen thank,1
41,even without make still hot,1
42,thanks video know nokia phones survive plane crash,0
43,,1
44,treu detective alternate ending __,1
45,new makeup transformation integrated look like feature available ver know look like install update version makeup transformation visit google play,1
46,named tiger kitty purry seriously check video,0
47,perfect lt,0
48,video ends ft boa constrictor squeezes death,0
49,paused music clip movie,0
50,hi twin melody year old twins covers cover birthday katy perry please take second watch thanks merci gracias danke obrigado grazie lt xx nice day,1
51,nicee sabrosura viva,1
52,hey guys go check video name growtopia story,1
53,,1
54,yay im th commenter crazy please donate bitcoins fhenqx twqm v ptayiejnealahzvem,1
55,,1
56,love song empowering every woman youre gonna hear roar,0
57,song makes want drink bleach,0
58,really hardcore,0
59,,1
60,follow watch videos follow watch videos follow watch videos follow watch videos follow watch videos follow watch videos follow watch videos,1
61,sorry katy perry weird still love lt,0
62,big fan song video awesome,0
63,katy perry stop dont song dont like,0
64,go channel check written songs,1
65,like gorlin goltz syndrome support community alone,1
66,subscribe u gonna hear roar,1
67,opinion think look better black hair blond hair,0
68,loved amazing omg eyes _,0
69,please help give son grave please share fb page one anymore,1
70,gonna hear roarrrr,0
71,follow gt,1
72,finish dissertation laugh face finish roaaarrr,0
73,old whore,0
