,CONTENT,CLASS
0,nice song,0
1,love song,0
2,love song,0
3,lets make first female reach one billion share replay,0
4,shakira best worldcup,0
5,best world cup song ever,0
6,love,0
7,see song open google type shakira guruofmovie,1
8,awesome,0
9,like shakira,0
10,shakira waka waka br love song,0
11,many disliked,0
12,think song ever get old,0
13,love song,0
14,wery good,0
15,every time hear song think iniesta goal netherlands,0
16,whose watching hi,0
17,love song much lt br keep em coming,0
18,love song thumsb,0
19,waka best one,0
20,years later still love song br axy,0
21,like,0
22,check playlist youtube,1
23,voice sounds weird plus cute blonde,0
24,many dislikes song awesome sounds like must stop racists could would like times,0
25,nice love itttttttt wurkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk,0
26,still watching,0
27,shakira favourite singer wooooo,0
28,remember song,0
29,like,0
30,whose watching like,0
31,support fight th amendment right privacy home stop nsa spying americans un patriot act renewal rand paul spent hours senate floor protest filibuster fighting constitution nation founded join fight rand paul dot com spread word someone cares nation email senators congress men women tell support rand tell news support rand senator rand paul href passed saturday morning fighting constitution buy postponing vote week constitution matters join rand fight protect href ht privacy home business senator rand paul href passed saturday morning fighting constitution buy postponing vote week constitution matters us help rand protect joining fright,1
32,best song world,0
33,beautiful,0
34,good song,0
35,awesome entertainer pretty lt shakira,0
36,check video youtube,1
37,love song,0
38,love song soccer team made cd couch song,0
39,fave song,0
40,watching,0
41,felt old realized song years old,0
42,love shakira,0
43,one best song time,0
44,really madly love woman,0
45,totally love song absolutely fantastic love ya shakira,0
46,im still watching,0
47,song sad,0
48,goood,0
49,best fifa world cup song sure,0
50,nice vdeo shakira good,0
51,coby usl past br href hmvtx br delete space,1
52,see br href hmvtx,1
53,waka waka,0
54,beautiful american,0
55,thumbs watching,1
56,ilovethissong,0
57,subscribe please promise sub back,1
58,lamest world cup song ever time africa mean africa live aid event something made seem like charity case instead proud moment wherewas ricky martin needed smh,0
59,friend sam loves song,0
60,check video youtube,1
61,love,0
62,help shakira become first female hit billiom views decided watch video least one day everyday shakifans r close hit replay button,0
63,ilove shakira,0
64,cool best song ever,0
65,omg listen soo good,0
66,uncle said stop smoking comment gets likes please like comment thanks,1
67,nice song,0
68,waka waka,0
69,super music,0
70,could k people dislike song video,0
71,love,0
72,swear shakira keeps getting gorgeous definitely looks gorgeous hair way super curly,0
73,youtube comments like br years ago,0
74,pisses bit blank space views mio meh,0
75,best,0
76,love p,0
77,love shakira,0
78,song special song africa african,0
79,lt song much shakira really good artist,0
80,love shakira br,0
81,definitley song im listening gypsy shakira rocks br span class proflinkwrapper span class proflinkprefix span class proflink href oid shakiravevo span,1
82,remember torunament like today,0
83,thank please give email,1
84,beautiful,0
85,like,0
86,shakira beautiful lovely lively love,0
87,great,0
88,best world cup song,0
89,fuck best ever nummber patrik kluivert son share,1
90,song beauty,0
91,heard years old still love,0
92,nice song,0
93,waka waka,0
94,oh god go billion replay love shakira,0
95,love,0
96,love song amp love shakira lt,0
97,yea stil best wk song ever br thumbs think br,1
98,liked br,0
99,like song,0
100,like,0
101,waka waka,0
102,amazing song,0
103,cool song,0
104,love u shakira,0
105,waka waka,0
106,song sucks,0
107,lol love song,0
108,shakira,0
109,subscribe channel recording fifa goals watch,1
110,wow years br,0
111,subscribe wil subscribe back,1
112,best singer,0
113,years soon,0
114,like,0
115,wanderfol love miusic,0
116,waka waka,0
117,best song ever x,0
118,pleasant hear haha good,0
119,love,0
120,wow,0
121,waka waka eh eh,0
122,cutie girl beautiful song,0
123,love shkira,0
124,believe soccer promotes terrorism bad choice shakira,0
125,loved song teenage years,0
126,lip synch terrible,0
127,shakira different happy time spending africa br dance sing speaks languages,0
128,gusttavo lima voc conhece br check,1
129,best world cup offical song,0
130,years ago damn,0
131,nice,0
132,help shakira waka waka first song female artist reach billion views br dark horse ahead roughly million views roar million views br href,1
133,like,0
134,shakira song waka waka,0
135,underrated better br katy perry saying katy bad meaning songs shakira br meaningful songs songs bring memories vibe miss br,0
136,love song expect world cup,0
137,good times,0
138,makes happy instantly makes forgot everything bad happening,0
139,love song much one faves xxx,0
140,hi nice song shakira sorry bad brazilian,0
141,best song go shaki,0
142,shit sooooo autotuned,0
143,stil lisening,0
144,sexy shakira,0
145,love shakiria,0
146,aunt love song,0
147,subscribed br,1
148,check playlist youtube br,1
149,top three shakira songs choice br br waka waka time africa br br remember forget br br empire br br like comment u like shakira,1
150,check video youtube,1
151,check playlist youtube central,1
152,could take time amp spare min read thank br br im rapper gonna honest theres thousands maybe even millions br br world many ambition dedication amp passion br br money huge youtube advertisements incredible music videos br br im left comments expose music br br could take moment give chance ill make believer br br would love nothing loyal following youtube anyone br br reads could press quot thumbs quot others see br br help push closer dream thank,1
153,please visit channel,1
154,pleas subscribe channel gamezzmta,1
155,pleas subscribe channel,1
156,pleas subscribe gamezz mta channel br,1
157,cool song check animal trafficking petition br href,1
158,check video youtube,1
159,subscribe win cap br,1
160,check playlist youtube,1
161,hey guys love check girl name cause knows dance search ej ba dancing,1
162,want win money hopme click href work,1
163,brazil please subscribe channel love,1
164,could spanish people understand br br way subscribe brake things br br _,1
165,pleassssssssssssssss subscribeeeeeeeeee channnnnnelll plzz,1
166,check video youtube,1
167,new way make money easily spending minutes daily gt href,1
168,beautiful songs please subscribe,1
169,channel get subscribers make happen,1
