,text
0,america done cant even continue insane mess
1,fighting supreme court frustrating
2,justice house ninja
3,uncle thomas justice
4,clarence thomas corrupt traitor removed supreme court goes justice beer pong sister wife barrett
5,america survive marshall rule
6,thomas hmmmmm would thought
7,traitors helping traitors traitors
8,none go thomas thomas russian asset
9,would think thomas would enterested liningrad would say much bi partisan judges rule law
10,shoot em
11,shocker
12,neutral thomas
13,president biden said correctly supreme court become advocacy group republican party
14,sob uncle tom justice genuinely represents upremely c orrupt f u nited tates lie filled nomination hearings defaming anita hill widely known two women allegations uncle thomas wife ginni federal tax evasion current insurrection conspiracy aiding lindsey graham cover john roberts get take vote entirety justices america see justice left highest court
15,opinion supreme court united states joke called reach around court
16,remember propaganda american exceptionalism
17,lmao take stock tissues democrats gonna throw little temper tantrum crying harder year old
18,sad though
19,fix gop motto cant lick em trick em
20,duh moment knew something someone going step graham
21,sh crazy going run warfighters want fight country like nobody super maga news
22,american legal system thoroughly corrupt
23,well republicans get house senate new subprime court wrong democrats jail plus forget cross trump jail really nice america
24,disgrace
25,stuffed ballots ga seen video two man stuffing box election night
26,judge become graham lawyer
27,remember thump using justice department personal law firm entire rebublican party using supreme court way call foul
28,look folks given judge long ago clearly political hack clarence thomas
29,uncle clarence came thru repubs surprised orange jesus would say sad
30,one thomas clear conflict handed cases nd politician accountable
31,wtf
32,wtf top story across board
33,hillary hide
34,bs justice thomas part wife part treasonous actions stop certification
35,considered obstruction justice
36,oh god hag retire
37,lmao judges vested interest kangaroo committee see legitimate committee congressional committee nancy pelosi committee hand picked nancy pelosi
38,anita warned us hillary warned us biden warned us none wrong
39,man law right wing past minor technicality
40,g u l l n e
41,thomas traitor democracy
42,wtf
43,surprised face one whenever hear bombshell breaking news means another high powered corrupt republican slithered another crime crime would put anyone else prison years even life accountability opened door anarchy say fool insulated protected rich stand back watch eat one another wonder
44,
45,one surprised justice thomas actions
46,get sick tired politicians breaks people get shaft others get breaks one law government freakin weak comes politicians breaking law lying oath normal folks get breaks government longer people
47,come man time impeach judge thomas
48,serious clarence sexually assault anita hill countless women thomas removed anything election fraud cases clearly conflict interest since wife firmly believes election stolen
49,oh lindsay sooooo scared
