index,content,class
0,lovely girl talk xxx,1
1,always end coming back song br,0
2,sister received new rel nofollow class ot hashtag href active youtube views right thing used pimpmyviews com,1
3,cool,0
4,hello palastine,1
5,wow video almost billion views know popular,0
6,go check rapping video called four wheels please,1
7,almost billion,0
8,aslamu lykum pakistan,1
9,eminem idol people espaa mexico latinoamerica,0
10,help get subs please,1
11,love song,0
12,alright ladies like song check john rage smoking hot rapper coming game better eminem lyrically hotter hear songs channel,1
13,perfect example abuse husbands thing feminist definitely agree song well see someone going die sayin,0
14,boyfriend charlie tv show lost,0
15,href,1
16,take look video youtube,1
17,check channel nice beats,1
18,rihanna eminem together unstoppable,0
19,check playlist youtube,1
20,song rape cheating br br br br br br br br br br basically,0
21,like please,1
22,love song believe years ago get old though,0
23,omg looks like piece mirror harry potter deathly hallows br either house sirius black,0
24,shared first song quot want quot hope like take listen href,1
25,come check music im spamming loads videos try get music across new people,1
26,check playlist youtube,1
27,huh hyuck hyuck im special watching im australia something give attention please im rapper dream im gonna share google plus im cool,1
28,exactly u want watching favourite rappers tv,0
29,rihanna absolutely gorgeous video,0
30,check video youtube br br love song good never go back always remember passion never want go back dysfunctional insanity goal live happy live insane,1
31,love someone soo much love way u lie,0
32,one best songs music history,0
33,check playlist youtube,1
34,check video youtube,1
35,check video youtube,1
36,hate way u lie,0
37,fuck eminem bieber best lt,0
38,check playlist youtube chcfcvzfzfbvzdr,1
39,check playlist youtube,1
40,im gonna share little ryhme canibus blows eminem away quadrillion times especially categories intelligent things mind learned rapped forgot eminem spit first ryme luv ya linz e,1
41,check video youtube,1
42,check video youtube br br br,1
43,check new remix br click click,1
44,check playlist youtube,1
45,personally never abusive relationship probably never hit women mom dad used hit mom left relate writing one moment subscribe hear every fan counts,1
46,love,0
47,haha believe many kids listen eminem kids know drugs ends high jail wonder never ended od,0
48,plese subscribe,1
49,check video youtube,1
50,aye homies check remix cent life line started youtube channel ways working hard give us feed back latest song guys think like show support,1
51,nd best song im gone amp,0
52,check video youtube,1
53,go eminem,0
54,eminem rihanna sing song well,0
55,subscribe secret videos,1
56,check video youtube,1
57,check video youtube rhinnah,1
58,subscribe clean eminem,1
59,hey youtubers really appreciate took time read year old boy wants successful musician music world dont money advertise channel could visit channel comment video subscribe would great seconds life thank u people gave chance l really appreciate,1
60,love way lie quot,0
61,check video youtube,1
62,guy win dollars sleeping loves planet full retards,1
63,check cover song,1
64,check video youtube,1
65,goot,0
66,im still listening,0
67,watched eminem video beats afraid,0
68,check channel funny skits thanks,1
69,hahahahah like vines subscribe daily vines,1
70,please read please country singer trying become someone would like videos please type boys round country girl computer wasting tears e please subscribe like,1
71,check video youtube,1
72,guys share video must views share facebook groups pages,1
73,check eminem rap god lyric video,1
74,love song,0
75,rihana love,0
76,like comment type,1
77,charlie lost br,0
78,fuck cheats megan fox,0
79,megan fox,0
80,love music,0
81,like comment type,1
83,hot hot,0
84,check video youtube,1
85,wow justin bieber better thats buys medication always shares half wited money alfred sadly enough attention hog swamp ass eating disorder filled sassy mice flaming hot cheetos eat power samurman,1
86,fucking song like n oreo white part good,0
87,near one eminems actual best songs real fans know im talking untitled cold wind blows welcome hell elevator business wtp almost famous life rock bottom apologies song dance without way toy soldiers mosh insane lt songs top head better,0
88,finally someone shares opinion tried really hard like gangnam style even get dance either song like popular gangnam style least makes sense,1
89,check new hot video dante b called riled,1
90,check new hot video dante b called riled,1
91,still listening still pleasure,0
92,facebook password hack facebook pass hack blogspot com working software hacking facebook password free download breaks password minutes virus free details free download please visit facebook pass hack blogspot com,1
93,love,0
94,time past fast,0
95,hey everyone dakoda bigelow year old singer rapper producer gained views far really need views likes subscribers order make check brand new music video song gone also check new song called deaf moments time would greatly appreciated regret please thumbs people see thanks support,1
96,fuck yeah,0
97,eminem ginius stop,0
98,rap cool rihanna sttuupid,0
99,gonna stand hear cry,0
100,love,0
101,feels emotions song god damn,0
102,u go check j rants vi eminem,1
103,megan fox eminem together video doesnt get better,0
104,check video youtube rel nofollow class ot hashtag href eminem rel nofollow class ot hashtag href lovethewayyoulie rel nofollow class ot hashtag href rapgod rel nofollow class ot hashtag href king,1
105,yo know nobody probably even read im gonna type way hope least one person rapper dream know like k world please check music subscribe want thanks would love nothing decent following youtube anyone reading could press quot thumbs quot people see simple button press could make dream come true thank,1
106,best song,0
107,subscribe feed,1
108,everyone go share youtu arkglzjqup fb twitter g vote eminem become artist year first ever youtube music awards get method cheat internet roulette eminems video shady artist year,1
109,check em dope new song monster watch v w gkm xny mmlp ftw,1
110,check sexy video,1
111,check sexy video,1
112,charlie lost,0
113,anyone else notice megan fox video,0
114,need instagram followers photo likes check igblast com get em minutes,1
115,check new hot video dante b called riled,1
116,check new hot video dante b called riled,1
117,yo know nobody probably even read imma type way hope least one person rapper dream know like k world please check music subscribe want thanks would love nothing decent following youtube anyone reading could press quot thumbs quot people see simple button press could make dream come true thank,1
118,youtube com watch v asfn shghk amp feature youtu please check song looking feedback supporters,1
119,watch videos subscribe,1
120,subscribe daily vines,1
121,love,0
122,hay dakota u earned subscribee,1
123,listen check andrew guasch crazy sick flow dope like subscribe ill aftermath tde soon enough one love peace,1
124,check new hot video dante b called riled,1
125,hate rap like song,0
126,love way lie driveshaft,0
128,views near,0
129,guys check extraordinary website called firepa com make money online start working home today making per month firepa com visit firepa com check lake chillpal sturdy astauand johackle chorenn ethosien changeable public noxu ploosnar looplab hoppler delicious false scitenoa locobot heartbreaking thirsty reminiscent,1
130,song nice,0
131,guys check extraordinary website called firepa com make money online start working home today making per month firepa com visit firepa com check lake busyglide sasaroo sore chillpal axiomatic naperone mere undesirable agreeable encouraging imperfect roasted insidious modgone quickest trelod keen fresh economic bocilile,1
132,sick music sick females,0
133,guys check extraordinary website called moneygq com make money online start working home today making per month moneygq com visit moneygq com check lake victorious luxuriant alcoholic responsible unbiased yoffa ociramma ociramma handsome arrowgance mizuxe boaconic sophisticated ill fated spourmo chubby hioffpo probable singlewave,1
134,love trop fort votre clip,0
135,guys check extraordinary website called moneygq com make money online start working home today making per month moneygq com visit moneygq com check lake waratel misty exciting swoquix acaer chillpal tupacase arrowgance lively hard idiotic bored cool ablaze crabby aloidia cheilith feandra useless ploosnar,1
136,guys check extraordinary website called moneygq com make money online start working home today making per month moneygq com visit moneygq com check lake ignorant wavefire reiltas astauand skizzle jovaphile swooflia grynn excellent slimy gabby nalpure lucky glozzom depressed better deep sinpad stereotyped toximble,1
137,eminem et rihana trop belle chanson,0
138,song better monster eminem,0
139,good boy br krean like eminem,0
140,wonderful,0
141,guys check extraordinary website called moneygq com make money online start working home today making per month moneygq com visit moneygq com check lake magnificent noodile unequaled moderock gogopo lulerain olielle zesty laughable accidental pepelexa delightful wiry toogit uncovered chesture woozy adhoc weak shallow,1
142,share eminem artist year video win could see performance acceptance speech like comment everyone see year eminem,1
143,watch v arkglzjqup like comment share video em win ytma,1
144,check video youtube br br eminem amazing,1
