id,author,date,content,class,video_id,channel_id,date_published,video_title,like_count,comment_count,view_count
0,Lisa Wellas,,+447935454150 lovely girl talk to me xxx﻿,t,uelHwf8o7_U,UC20vb-R_px4CguHzzBPhoyQ,2010-08-05,Eminem - Love The Way You Lie ft. Rihanna,12441625,597028,2488042269
1,jason graham,2015-05-29,I always end up coming back to this song<br />﻿,f,uelHwf8o7_U,UC20vb-R_px4CguHzzBPhoyQ,2010-08-05,Eminem - Love The Way You Lie ft. Rihanna,12441625,597028,2488042269
2,Ajkal Khan,,"my sister just received over 6,500 new <a rel=nofollow class=ot-hashtag href=https://plus.google.com/s/%23active>#active</a> youtube views Right now. The only thing she used was pimpmyviews. com﻿",t,uelHwf8o7_U,UC20vb-R_px4CguHzzBPhoyQ,2010-08-05,Eminem - Love The Way You Lie ft. Rihanna,12441625,597028,2488042269
3,Dakota Taylor,2015-05-29,Cool﻿,f,uelHwf8o7_U,UC20vb-R_px4CguHzzBPhoyQ,2010-08-05,Eminem - Love The Way You Lie ft. Rihanna,12441625,597028,2488042269
4,Jihad Naser,,Hello I&#39;am from Palastine﻿,t,uelHwf8o7_U,UC20vb-R_px4CguHzzBPhoyQ,2010-08-05,Eminem - Love The Way You Lie ft. Rihanna,12441625,597028,2488042269
5,Darrion Johnson,2015-05-29,Wow this video almost has a billion views! Didn&#39;t know it was so popular ﻿,f,uelHwf8o7_U,UC20vb-R_px4CguHzzBPhoyQ,2010-08-05,Eminem - Love The Way You Lie ft. Rihanna,12441625,597028,2488042269
6,kyeman13,,Go check out my rapping video called Four Wheels please ❤️﻿,t,uelHwf8o7_U,UC20vb-R_px4CguHzzBPhoyQ,2010-08-05,Eminem - Love The Way You Lie ft. Rihanna,12441625,597028,2488042269
7,Damax,2015-05-29,Almost 1 billion﻿,f,uelHwf8o7_U,UC20vb-R_px4CguHzzBPhoyQ,2010-08-05,Eminem - Love The Way You Lie ft. Rihanna,12441625,597028,2488042269
8,Muhammad Asim Mansha,,Aslamu Lykum... From Pakistan﻿,t,uelHwf8o7_U,UC20vb-R_px4CguHzzBPhoyQ,2010-08-05,Eminem - Love The Way You Lie ft. Rihanna,12441625,597028,2488042269
9,JuanPa Rap,2015-05-28,Eminem is idol for very people in España and Mexico or Latinoamerica﻿,f,uelHwf8o7_U,UC20vb-R_px4CguHzzBPhoyQ,2010-08-05,Eminem - Love The Way You Lie ft. Rihanna,12441625,597028,2488042269
10,Mjt12,,Help me get 50 subs please ﻿,t,uelHwf8o7_U,UC20vb-R_px4CguHzzBPhoyQ,2010-08-05,Eminem - Love The Way You Lie ft. Rihanna,12441625,597028,2488042269
11,emily 13,2015-05-28,i love song :)﻿,f,uelHwf8o7_U,UC20vb-R_px4CguHzzBPhoyQ,2010-08-05,Eminem - Love The Way You Lie ft. Rihanna,12441625,597028,2488042269
12,TheJohnRage,,"Alright ladies, if you like this song, then check out John Rage.  He&#39;s a smoking hot rapper coming into the game.  He&#39;s not better than Eminem lyrically, but he&#39;s hotter. Hear some of his songs on my channel.﻿",t,uelHwf8o7_U,UC20vb-R_px4CguHzzBPhoyQ,2010-08-05,Eminem - Love The Way You Lie ft. Rihanna,12441625,597028,2488042269
13,William Davis,2015-05-28,The perfect example of abuse from husbands and the thing is I&#39;m a feminist so I definitely agree with this song and well...if I see this someone&#39;s going to die! Just sayin.﻿,f,uelHwf8o7_U,UC20vb-R_px4CguHzzBPhoyQ,2010-08-05,Eminem - Love The Way You Lie ft. Rihanna,12441625,597028,2488042269
14,Ashleigh_ Baise,2015-05-28,The boyfriend was Charlie from the TV show LOST ﻿,f,uelHwf8o7_U,UC20vb-R_px4CguHzzBPhoyQ,2010-08-05,Eminem - Love The Way You Lie ft. Rihanna,12441625,597028,2488042269
15,Lauralyn Karoll,,<a href=https://www.facebook.com/groups/100877300245414/>https://www.facebook.com/groups/100877300245414/</a>﻿,t,uelHwf8o7_U,UC20vb-R_px4CguHzzBPhoyQ,2010-08-05,Eminem - Love The Way You Lie ft. Rihanna,12441625,597028,2488042269
16,Shirley Lim,,Take a look at this video on YouTube:﻿,t,uelHwf8o7_U,UC20vb-R_px4CguHzzBPhoyQ,2010-08-05,Eminem - Love The Way You Lie ft. Rihanna,12441625,597028,2488042269
17,TMCB production (Instrumental Beats),,Check out our Channel for nice Beats!!﻿,t,uelHwf8o7_U,UC20vb-R_px4CguHzzBPhoyQ,2010-08-05,Eminem - Love The Way You Lie ft. Rihanna,12441625,597028,2488042269
18,Sylith,2015-05-28,Rihanna and Eminem together are unstoppable.﻿,f,uelHwf8o7_U,UC20vb-R_px4CguHzzBPhoyQ,2010-08-05,Eminem - Love The Way You Lie ft. Rihanna,12441625,597028,2488042269
19,nepaladventure,,Check out this playlist on YouTube:﻿,t,uelHwf8o7_U,UC20vb-R_px4CguHzzBPhoyQ,2010-08-05,Eminem - Love The Way You Lie ft. Rihanna,12441625,597028,2488042269
20,Pugnsuit,2015-05-28,This song is about Rape and Cheating     <br /><br /><br /><br /><br /><br /><br /><br /><br /><br />Basically.....﻿,f,uelHwf8o7_U,UC20vb-R_px4CguHzzBPhoyQ,2010-08-05,Eminem - Love The Way You Lie ft. Rihanna,12441625,597028,2488042269
