id,author,date,content,class,video_id,channel_id,date_published,video_title,like_count,comment_count,view_count
437,Matheus Macedo,2014-07-21,NICE :3﻿,f,KQ6zr6kCPj8,UCk78ZcA6kflEvBR0UrGDH0Q,2011-03-09,"LMFAO - Party Rock Anthem ft. Lauren Bennett, GoonRock",10841926,648580,2223212377
436,xXxPWND 420xXx,2014-07-21,HOW MANY THUMBS UP FOR LOUIS SAVING THE DAY!?!?﻿,t,KQ6zr6kCPj8,UCk78ZcA6kflEvBR0UrGDH0Q,2011-03-09,"LMFAO - Party Rock Anthem ft. Lauren Bennett, GoonRock",10841926,648580,2223212377
435,LuckyMusiqLive,2014-07-21,this song is awesome. these guys are the best. love this video too its hilarious lol. im getting popular fast because i rap with meaning. thumbs up if you piss next to the water in the toilet so it doesnt make noise﻿,t,KQ6zr6kCPj8,UCk78ZcA6kflEvBR0UrGDH0Q,2011-03-09,"LMFAO - Party Rock Anthem ft. Lauren Bennett, GoonRock",10841926,648580,2223212377
434,Bob Orton,2014-07-22,love this song﻿,f,KQ6zr6kCPj8,UCk78ZcA6kflEvBR0UrGDH0Q,2011-03-09,"LMFAO - Party Rock Anthem ft. Lauren Bennett, GoonRock",10841926,648580,2223212377
433,Salty Croc,2014-07-22,Like this comment for no reason﻿,t,KQ6zr6kCPj8,UCk78ZcA6kflEvBR0UrGDH0Q,2011-03-09,"LMFAO - Party Rock Anthem ft. Lauren Bennett, GoonRock",10841926,648580,2223212377
432,ItsJoey Dash,2014-07-22,EVERYONE PLEASE GO SUBSCRIBE TO MY CHANNEL OR JUST LOON AT MY VIDEOS﻿,t,KQ6zr6kCPj8,UCk78ZcA6kflEvBR0UrGDH0Q,2011-03-09,"LMFAO - Party Rock Anthem ft. Lauren Bennett, GoonRock",10841926,648580,2223212377
431,ItsJoey Dash,2014-07-22,EVERYONE PLEASE SUBSCRIBE TO MY CHANNEL OR CAN YOU ALL JUST GO LOOK AT MY VIDEOS ﻿,t,KQ6zr6kCPj8,UCk78ZcA6kflEvBR0UrGDH0Q,2011-03-09,"LMFAO - Party Rock Anthem ft. Lauren Bennett, GoonRock",10841926,648580,2223212377
430,ItsJoey Dash,2014-07-22,EVERYONE PLEASE SUBSCRIBE TO MY CHANNEL OR CAN YOU ALL JUST GO LOOK AT MY VIDEOS ﻿,t,KQ6zr6kCPj8,UCk78ZcA6kflEvBR0UrGDH0Q,2011-03-09,"LMFAO - Party Rock Anthem ft. Lauren Bennett, GoonRock",10841926,648580,2223212377
429,Ksenia Vladimirova,2014-07-22,Looooooooove this song!!!!!!!!!:))))))﻿,f,KQ6zr6kCPj8,UCk78ZcA6kflEvBR0UrGDH0Q,2011-03-09,"LMFAO - Party Rock Anthem ft. Lauren Bennett, GoonRock",10841926,648580,2223212377
428,aXXeHackeR,2014-07-22,watch this with sound off!﻿,f,KQ6zr6kCPj8,UCk78ZcA6kflEvBR0UrGDH0Q,2011-03-09,"LMFAO - Party Rock Anthem ft. Lauren Bennett, GoonRock",10841926,648580,2223212377
427,Robotic Band,2014-07-22,The best Song i saw ❤️❤️❤️❤️❤️❤️❤️❤️😍😍😍😍😍😍😍😘😘😘😘😘😘😘😘﻿,f,KQ6zr6kCPj8,UCk78ZcA6kflEvBR0UrGDH0Q,2011-03-09,"LMFAO - Party Rock Anthem ft. Lauren Bennett, GoonRock",10841926,648580,2223212377
426,Juan Martinez,2014-07-22,I learned the shuffle because of them﻿,f,KQ6zr6kCPj8,UCk78ZcA6kflEvBR0UrGDH0Q,2011-03-09,"LMFAO - Party Rock Anthem ft. Lauren Bennett, GoonRock",10841926,648580,2223212377
425,Salah DK,2014-07-22,awesome﻿,f,KQ6zr6kCPj8,UCk78ZcA6kflEvBR0UrGDH0Q,2011-03-09,"LMFAO - Party Rock Anthem ft. Lauren Bennett, GoonRock",10841926,648580,2223212377
424,fulvio colace,2014-07-22,OOOOO SHUFFLLLLLLLLLLLLLLLLLLLLLLINNNNN﻿,f,KQ6zr6kCPj8,UCk78ZcA6kflEvBR0UrGDH0Q,2011-03-09,"LMFAO - Party Rock Anthem ft. Lauren Bennett, GoonRock",10841926,648580,2223212377
423,kimberly dezan,2014-07-22,Love your song makes me happy﻿,f,KQ6zr6kCPj8,UCk78ZcA6kflEvBR0UrGDH0Q,2011-03-09,"LMFAO - Party Rock Anthem ft. Lauren Bennett, GoonRock",10841926,648580,2223212377
422,ownpear902,2014-07-22,check it out free stuff for watching videos and filling surveys<br /><br /><a href=http://www.prizerebel.com/index.php?r=1446084>http://www.prizerebel.com/index.php?r=1446084</a>﻿,t,KQ6zr6kCPj8,UCk78ZcA6kflEvBR0UrGDH0Q,2011-03-09,"LMFAO - Party Rock Anthem ft. Lauren Bennett, GoonRock",10841926,648580,2223212377
421,Naga Berapi,2014-07-22,The best song ever!﻿,f,KQ6zr6kCPj8,UCk78ZcA6kflEvBR0UrGDH0Q,2011-03-09,"LMFAO - Party Rock Anthem ft. Lauren Bennett, GoonRock",10841926,648580,2223212377
420,Naga Berapi,2014-07-22,The best song ever!﻿,f,KQ6zr6kCPj8,UCk78ZcA6kflEvBR0UrGDH0Q,2011-03-09,"LMFAO - Party Rock Anthem ft. Lauren Bennett, GoonRock",10841926,648580,2223212377
419,ItstheSauce92,2014-07-23,No one makes me wanna party like LMFAO does... I just wanna rage every time one of these songs comes on. The only other band that does that is &quot;On the Rocks Inc.&quot; those kids know how to party﻿,f,KQ6zr6kCPj8,UCk78ZcA6kflEvBR0UrGDH0Q,2011-03-09,"LMFAO - Party Rock Anthem ft. Lauren Bennett, GoonRock",10841926,648580,2223212377
418,Devin Thornton,2014-07-23,i love this song so much!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!﻿,f,KQ6zr6kCPj8,UCk78ZcA6kflEvBR0UrGDH0Q,2011-03-09,"LMFAO - Party Rock Anthem ft. Lauren Bennett, GoonRock",10841926,648580,2223212377
417,mariosergopao,2014-07-23, are  there  people who like  this shit? hahahahah :P<br />this isn&#39;t even real music.......... it&#39;s computer-based music.....<br />well done music industry.....﻿,f,KQ6zr6kCPj8,UCk78ZcA6kflEvBR0UrGDH0Q,2011-03-09,"LMFAO - Party Rock Anthem ft. Lauren Bennett, GoonRock",10841926,648580,2223212377
416,Dávid Baranovič,2014-07-23,every bady yust have a good time﻿,f,KQ6zr6kCPj8,UCk78ZcA6kflEvBR0UrGDH0Q,2011-03-09,"LMFAO - Party Rock Anthem ft. Lauren Bennett, GoonRock",10841926,648580,2223212377
415,t tatsuya,2014-07-23,very good song:)﻿,f,KQ6zr6kCPj8,UCk78ZcA6kflEvBR0UrGDH0Q,2011-03-09,"LMFAO - Party Rock Anthem ft. Lauren Bennett, GoonRock",10841926,648580,2223212377
414,Renee Nelson,2014-07-23,Good video﻿,f,KQ6zr6kCPj8,UCk78ZcA6kflEvBR0UrGDH0Q,2011-03-09,"LMFAO - Party Rock Anthem ft. Lauren Bennett, GoonRock",10841926,648580,2223212377
413,Mah Productions,2014-07-26,Check the shit out on my channel<br /><br /><br />SUBSCRIBE YOU WILL LIKE IT﻿,t,KQ6zr6kCPj8,UCk78ZcA6kflEvBR0UrGDH0Q,2011-03-09,"LMFAO - Party Rock Anthem ft. Lauren Bennett, GoonRock",10841926,648580,2223212377
412,Lisa UKGirl,2014-07-26,Hey plz check out my music video. Thanks!! :-)﻿,t,KQ6zr6kCPj8,UCk78ZcA6kflEvBR0UrGDH0Q,2011-03-09,"LMFAO - Party Rock Anthem ft. Lauren Bennett, GoonRock",10841926,648580,2223212377
411,Henry Cousins,2014-07-27,"hi guys please check out my vids , i will promos to subscribe to you to﻿",t,KQ6zr6kCPj8,UCk78ZcA6kflEvBR0UrGDH0Q,2011-03-09,"LMFAO - Party Rock Anthem ft. Lauren Bennett, GoonRock",10841926,648580,2223212377
410,footboxG,2014-08-03,Subscribe to my channel !﻿,t,KQ6zr6kCPj8,UCk78ZcA6kflEvBR0UrGDH0Q,2011-03-09,"LMFAO - Party Rock Anthem ft. Lauren Bennett, GoonRock",10841926,648580,2223212377
409,RandomFuntime,2014-08-04,"Hey I&#39;m a British youtuber!!<br />I upload Weekly!! <br />It would mean the world if you could subscribe!!<br />Thanks,Joyce!!<br />﻿",t,KQ6zr6kCPj8,UCk78ZcA6kflEvBR0UrGDH0Q,2011-03-09,"LMFAO - Party Rock Anthem ft. Lauren Bennett, GoonRock",10841926,648580,2223212377
408,ZeroxAbood677,2014-08-07,Nezo and Ed<br />Like&amp;share this page on facebook please ﻿,t,KQ6zr6kCPj8,UCk78ZcA6kflEvBR0UrGDH0Q,2011-03-09,"LMFAO - Party Rock Anthem ft. Lauren Bennett, GoonRock",10841926,648580,2223212377
407,Nossnevs SWEDEN,2014-08-12,"Check out: My Hood Doh, by Flixter Nossnevs﻿",t,KQ6zr6kCPj8,UCk78ZcA6kflEvBR0UrGDH0Q,2011-03-09,"LMFAO - Party Rock Anthem ft. Lauren Bennett, GoonRock",10841926,648580,2223212377
406,ViralVinesHD,2014-08-18,"Like this comment, guys i just started up a new channel if i can get 200 subscribers by tonight ill do a $20 paypal giveaway like this comment so your friends can see it or others and they can also be entered GO !!!﻿",t,KQ6zr6kCPj8,UCk78ZcA6kflEvBR0UrGDH0Q,2011-03-09,"LMFAO - Party Rock Anthem ft. Lauren Bennett, GoonRock",10841926,648580,2223212377
