id,author,date,content,class,video_id,channel_id,date_published,video_title,like_count,comment_count,view_count
0,Julius NM,2013-11-07,"Huh, anyway check out this you[tube] channel: kobyoshi02",t,9bZkp7q19f0,UCrDkAvwZum-UTjHmzDI2iIw,2012-07-15,PSY - GANGNAM STYLE(강남스타일) M/V,25860244,5332065,4582751936
1,adam riyati,2013-11-07,"Hey guys check out my new channel and our first vid THIS IS US THE  MONKEYS!!! I''m the monkey in the white shirt,please leave a like comment  and please subscribe!!!!",t,9bZkp7q19f0,UCrDkAvwZum-UTjHmzDI2iIw,2012-07-15,PSY - GANGNAM STYLE(강남스타일) M/V,25860244,5332065,4582751936
2,Evgeny Murashkin,2013-11-08,just for test I have to say murdev.com,t,9bZkp7q19f0,UCrDkAvwZum-UTjHmzDI2iIw,2012-07-15,PSY - GANGNAM STYLE(강남스타일) M/V,25860244,5332065,4582751936
3,ElNino Melendez,2013-11-09,me shaking my sexy ass on my channel enjoy ^_^ ﻿,t,9bZkp7q19f0,UCrDkAvwZum-UTjHmzDI2iIw,2012-07-15,PSY - GANGNAM STYLE(강남스타일) M/V,25860244,5332065,4582751936
4,GsMega,2013-11-10,watch?v=vtaRGgvGtWQ   Check this out .﻿,t,9bZkp7q19f0,UCrDkAvwZum-UTjHmzDI2iIw,2012-07-15,PSY - GANGNAM STYLE(강남스타일) M/V,25860244,5332065,4582751936
5,Jason Haddad,2013-11-26,"Hey, check out my new website!! This site is about kids stuff. kidsmediausa  . com",t,9bZkp7q19f0,UCrDkAvwZum-UTjHmzDI2iIw,2012-07-15,PSY - GANGNAM STYLE(강남스타일) M/V,25860244,5332065,4582751936
6,ferleck ferles,2013-11-27,Subscribe to my channel ﻿,t,9bZkp7q19f0,UCrDkAvwZum-UTjHmzDI2iIw,2012-07-15,PSY - GANGNAM STYLE(강남스타일) M/V,25860244,5332065,4582751936
7,Bob Kanowski,2013-11-28,i turned it on mute as soon is i came on i just wanted to check the  views...﻿,f,9bZkp7q19f0,UCrDkAvwZum-UTjHmzDI2iIw,2012-07-15,PSY - GANGNAM STYLE(강남스타일) M/V,25860244,5332065,4582751936
8,Cony,2013-11-28,You should check my channel for Funny VIDEOS!!﻿,t,9bZkp7q19f0,UCrDkAvwZum-UTjHmzDI2iIw,2012-07-15,PSY - GANGNAM STYLE(강남스타일) M/V,25860244,5332065,4582751936
9,BeBe Burkey,2013-11-28,and u should.d check my channel and tell me what I should do next!﻿,t,9bZkp7q19f0,UCrDkAvwZum-UTjHmzDI2iIw,2012-07-15,PSY - GANGNAM STYLE(강남스타일) M/V,25860244,5332065,4582751936
10,Huckyduck,2013-11-28,Hey subscribe to me﻿,t,9bZkp7q19f0,UCrDkAvwZum-UTjHmzDI2iIw,2012-07-15,PSY - GANGNAM STYLE(강남스타일) M/V,25860244,5332065,4582751936
11,Lone Twistt,2013-11-28, Once you have started reading do not stop. If you do not subscribe to me  within one day you and you're entire family will die so if you want to stay  alive subscribe right now.﻿,t,9bZkp7q19f0,UCrDkAvwZum-UTjHmzDI2iIw,2012-07-15,PSY - GANGNAM STYLE(강남스타일) M/V,25860244,5332065,4582751936
12,Archie Lewis,2013-11-28,https://twitter.com/GBphotographyGB﻿,t,9bZkp7q19f0,UCrDkAvwZum-UTjHmzDI2iIw,2012-07-15,PSY - GANGNAM STYLE(강남스타일) M/V,25860244,5332065,4582751936
13,TheUploadaddict,2013-11-28,subscribe like comment﻿,t,9bZkp7q19f0,UCrDkAvwZum-UTjHmzDI2iIw,2012-07-15,PSY - GANGNAM STYLE(강남스타일) M/V,25860244,5332065,4582751936
14,Francisco Nora,2013-11-28,please like :D https://premium.easypromosapp.com/voteme/19924/616375350﻿,t,9bZkp7q19f0,UCrDkAvwZum-UTjHmzDI2iIw,2012-07-15,PSY - GANGNAM STYLE(강남스타일) M/V,25860244,5332065,4582751936
15,Gaming and Stuff PRO,2013-11-28,"Hello! Do you like gaming, art videos, scientific experiments, tutorials,  lyrics videos, and much, much more of that? If you do please check out our  channel and subscribe to it, we''ve just started, but soon we hope we will  be able to cover all of our expectations... You can also check out what  we''ve got so far!﻿",t,9bZkp7q19f0,UCrDkAvwZum-UTjHmzDI2iIw,2012-07-15,PSY - GANGNAM STYLE(강남스타일) M/V,25860244,5332065,4582751936
16,Zielimeek21,2013-11-28,I'm only checking the views﻿,f,9bZkp7q19f0,UCrDkAvwZum-UTjHmzDI2iIw,2012-07-15,PSY - GANGNAM STYLE(강남스타일) M/V,25860244,5332065,4582751936
