id,author,date,content,class,video_id,channel_id,date_published,video_title,like_count,comment_count,view_count
0,dharma pal,2015-05-29,Nice song﻿,f,pRpeEdMmmQ0,UCGnjeahCJW1AF34HBmQTJ-Q,2010-06-04,Shakira - Waka Waka (This Time for Africa) (The Official 2010 FIFA World Cup™ Song),18491759,1233403,3274175841
1,Tiza Arellano,2015-05-29,I love song ﻿,f,pRpeEdMmmQ0,UCGnjeahCJW1AF34HBmQTJ-Q,2010-06-04,Shakira - Waka Waka (This Time for Africa) (The Official 2010 FIFA World Cup™ Song),18491759,1233403,3274175841
2,Prìñçeśś Âliś Łøvê Dømíñø Mâđiś™ ﻿,2015-05-28,I love song ﻿,f,pRpeEdMmmQ0,UCGnjeahCJW1AF34HBmQTJ-Q,2010-06-04,Shakira - Waka Waka (This Time for Africa) (The Official 2010 FIFA World Cup™ Song),18491759,1233403,3274175841
3,Eric Gonzalez,2015-05-28,"860,000,000 lets make it first female to reach one billion!! Share it and replay it! ﻿",f,pRpeEdMmmQ0,UCGnjeahCJW1AF34HBmQTJ-Q,2010-06-04,Shakira - Waka Waka (This Time for Africa) (The Official 2010 FIFA World Cup™ Song),18491759,1233403,3274175841
4,Analena López,2015-05-28,shakira is best for worldcup﻿,f,pRpeEdMmmQ0,UCGnjeahCJW1AF34HBmQTJ-Q,2010-06-04,Shakira - Waka Waka (This Time for Africa) (The Official 2010 FIFA World Cup™ Song),18491759,1233403,3274175841
5,jehoiada wellington,2015-05-28,The best world cup song ever!!!!﻿,f,pRpeEdMmmQ0,UCGnjeahCJW1AF34HBmQTJ-Q,2010-06-04,Shakira - Waka Waka (This Time for Africa) (The Official 2010 FIFA World Cup™ Song),18491759,1233403,3274175841
6,Kara Cuthbertson,2015-05-28,I love﻿,f,pRpeEdMmmQ0,UCGnjeahCJW1AF34HBmQTJ-Q,2010-06-04,Shakira - Waka Waka (This Time for Africa) (The Official 2010 FIFA World Cup™ Song),18491759,1233403,3274175841
7,Sudheer Yadav,2015-05-28,SEE SOME MORE SONG OPEN GOOGLE AND TYPE Shakira GuruOfMovie﻿,t,pRpeEdMmmQ0,UCGnjeahCJW1AF34HBmQTJ-Q,2010-06-04,Shakira - Waka Waka (This Time for Africa) (The Official 2010 FIFA World Cup™ Song),18491759,1233403,3274175841
8,Alex John,2015-05-28,Awesome ﻿,f,pRpeEdMmmQ0,UCGnjeahCJW1AF34HBmQTJ-Q,2010-06-04,Shakira - Waka Waka (This Time for Africa) (The Official 2010 FIFA World Cup™ Song),18491759,1233403,3274175841
9,Nirab Valobasha,2015-05-27,I like shakira..﻿,f,pRpeEdMmmQ0,UCGnjeahCJW1AF34HBmQTJ-Q,2010-06-04,Shakira - Waka Waka (This Time for Africa) (The Official 2010 FIFA World Cup™ Song),18491759,1233403,3274175841
10,Chelsea Andrews,2015-05-27,Shakira - Waka Waka <br />LOVE THIS SONG!!!!!!!!!!!!!!!﻿,f,pRpeEdMmmQ0,UCGnjeahCJW1AF34HBmQTJ-Q,2010-06-04,Shakira - Waka Waka (This Time for Africa) (The Official 2010 FIFA World Cup™ Song),18491759,1233403,3274175841
11,Kevin Sosa,2015-05-27,Why so many disliked??????!!!!!!😯﻿,f,pRpeEdMmmQ0,UCGnjeahCJW1AF34HBmQTJ-Q,2010-06-04,Shakira - Waka Waka (This Time for Africa) (The Official 2010 FIFA World Cup™ Song),18491759,1233403,3274175841
12,OldSchool Music,2015-05-27,I don&#39;t think this song will ever get old ﻿,f,pRpeEdMmmQ0,UCGnjeahCJW1AF34HBmQTJ-Q,2010-06-04,Shakira - Waka Waka (This Time for Africa) (The Official 2010 FIFA World Cup™ Song),18491759,1233403,3274175841
13,Stephen Lister,2015-05-27,Love song﻿,f,pRpeEdMmmQ0,UCGnjeahCJW1AF34HBmQTJ-Q,2010-06-04,Shakira - Waka Waka (This Time for Africa) (The Official 2010 FIFA World Cup™ Song),18491759,1233403,3274175841
14,Karolína Hlavatá,2015-05-27,wery good﻿,f,pRpeEdMmmQ0,UCGnjeahCJW1AF34HBmQTJ-Q,2010-06-04,Shakira - Waka Waka (This Time for Africa) (The Official 2010 FIFA World Cup™ Song),18491759,1233403,3274175841
15,DubCedSky,2015-05-27,"Every time I hear this song, I think about Iniesta&#39;s goal against the Netherlands...﻿",f,pRpeEdMmmQ0,UCGnjeahCJW1AF34HBmQTJ-Q,2010-06-04,Shakira - Waka Waka (This Time for Africa) (The Official 2010 FIFA World Cup™ Song),18491759,1233403,3274175841
16,akita hachiko,2015-05-27,Whose watching this in 2015. If so hi-5﻿,f,pRpeEdMmmQ0,UCGnjeahCJW1AF34HBmQTJ-Q,2010-06-04,Shakira - Waka Waka (This Time for Africa) (The Official 2010 FIFA World Cup™ Song),18491759,1233403,3274175841
