,CONTENT,COMMENT_COUNT,CLASS
0,huh anyway check tube channel kobyoshi,1,1
1,hey guys check new channel first vid us monkeys monkey white shirt please leave like comment please subscribe,1,1
2,test say murdev com,1,1
3,shaking sexy ass channel enjoy _,1,1
4,watch v vtarggvgtwq check,1,1
5,hey check new website site kids stuff kidsmediausa com,1,1
6,subscribe channel,1,1
7,turned mute soon came wanted check views,1,0
8,check channel funny videos,1,1
9,u check channel tell next,1,1
10,hey subscribe,1,1
11,started reading stop subscribe within one day entire family die want stay alive subscribe right,1,1
12,,1,1
13,subscribe like comment,1,1
14,please like,1,1
15,hello like gaming art videos scientific experiments tutorials lyrics videos much much please check channel subscribe started soon hope able cover expectations also check got far,1,1
16,checking views,1,0
17,,2,1
18,,1,1
19,edm apparel company dedicated bringing music inspired designs clothing perfect rave music festival neon crop tops tank tops shirts v necks accessories follow us facebook instagraml free giveaways news visit site oncueapparel,1,1
20,think millions views come people wanted check views,1,0
21,subscribe channel people,1,1
22,show auburn pride,2,1
23,checking views,1,0
24,check channel,1,1
25,marketglory com strategygame andrijamatf earn real money game,1,1
26,hey guys im yr old music producer make chiptunes bit music would wonderful checked bit remixes even gangnamstyle bit remix would like check thanks,1,1
27,check kyle rap yeah,1,1
28,dont even watch anymore come check billion,1,0
29,subscribe free android games apps,1,1
30,everyone please come check newest song memories martin luther king jr,1,1
31,came check views goodbye,1,0
32,sub channel reason _,1,1
33,check dubstep song fireball made fruity loops really took time watch v teloa rio,1,1
34,billion coming soon,1,0
35,dafuq korean song big usa mean support koreans last time checked wanted bomb us,1,0
36,check channel please listen best music ever p,1,1
37,sub sub please like comment want succesfull youtube pplease like comment subscribe takes seconds please subscribe ill subscribe back thanks,1,1
38,hey everyone started first yt channel would grateful peoples could check first clip bf give advice video could improve also sure go check see im thanks time haters hate win,1,1
39,projects effects music foto web sites another find buy,1,1
40,youtube codytolleson awesome videos subscribe back,1,1
41,like roblox minecraft world warcraft gta mario suscribe channel,1,1
42,subscribe subscribe must like czfcxsn jnq,1,1
43,come follow watch stream,1,1
44,like raw talent raw lyrics straight real hip hop everyone check newest sound dizzy x got juice prod drugs model citizen comment tell think dont lazy prophetz,1,1
45,subscribe channel,1,1
46,views pls comment view count next hour p,1,0
47,,1,1
48,go check views,1,0
49,thumbs u checked video see hw views got,1,0
50,plz subscribe channel subscribe back xx,1,1
51,check back often help reach x views avoid watching baby,1,0
52,video get billion people checking hit billion yet,1,0
53,like facebook page chance win iphone,1,1
54,get gwar play superbowl share,1,1
55,pls follow channel,1,1
56,hi guys check youtube channel,1,1
57,subscribe like videos minecraft,1,1
58,friend cd db f great game check,1,1
59,subscribe,1,1
60,im check much views,1,0
61,first comment chuck norrus ovbiously,1,0
62,behold viewed youtube video history ever,1,0
63,gonna hit billion,1,0
64,viewed youtube video time,1,0
65,dislikes like dislike,1,0
66,psy korean,1,0
67,omg oldspice spraytan party commercial omg sitting real thing omg,1,0
68,video youtube get much views want see much views every day mean people think video popular actually gets views,1,0
69,back quite,1,0
70,billions,1,0
71,plz check fablife welcome fablife diys challenges plz subscribe thx,1,1
72,sub channel,1,1
73,,1,1
74,,1,1
