,text,COMMENT_COUNT
0,america done cant even continue insane mess,1
1,fighting supreme court frustrating,1
2,justice house ninja,1
3,uncle thomas justice,1
4,clarence thomas corrupt traitor removed supreme court goes justice beer pong sister wife barrett,2
5,america survive marshall rule,1
6,thomas hmmmmm would thought,1
7,traitors helping traitors traitors,1
8,none go thomas thomas russian asset,1
9,would think thomas would enterested liningrad would say much bi partisan judges rule law,1
10,shoot em,1
11,shocker,1
12,neutral thomas,1
13,president biden said correctly supreme court become advocacy group republican party,1
14,sob uncle tom justice genuinely represents upremely c orrupt f u nited tates lie filled nomination hearings defaming anita hill widely known two women allegations uncle thomas wife ginni federal tax evasion current insurrection conspiracy aiding lindsey graham cover john roberts get take vote entirety justices america see justice left highest court,1
15,opinion supreme court united states joke called reach around court,1
16,remember propaganda american exceptionalism,1
17,lmao take stock tissues democrats gonna throw little temper tantrum crying harder year old,1
18,sad though,1
19,fix gop motto cant lick em trick em,1
20,duh moment knew something someone going step graham,1
21,sh crazy going run warfighters want fight country like nobody super maga news,1
22,american legal system thoroughly corrupt,1
23,well republicans get house senate new subprime court wrong democrats jail plus forget cross trump jail really nice america,1
24,disgrace,1
25,stuffed ballots ga seen video two man stuffing box election night,1
26,judge become graham lawyer,1
27,remember thump using justice department personal law firm entire rebublican party using supreme court way call foul,1
28,look folks given judge long ago clearly political hack clarence thomas,1
29,uncle clarence came thru repubs surprised orange jesus would say sad,1
30,one thomas clear conflict handed cases nd politician accountable,1
31,wtf,1
32,wtf top story across board,1
33,hillary hide,1
34,bs justice thomas part wife part treasonous actions stop certification,2
35,considered obstruction justice,1
36,oh god hag retire,1
37,lmao judges vested interest kangaroo committee see legitimate committee congressional committee nancy pelosi committee hand picked nancy pelosi,1
38,anita warned us hillary warned us biden warned us none wrong,1
39,man law right wing past minor technicality,1
40,g u l l n e,1
41,thomas traitor democracy,1
42,wtf,1
43,surprised face one whenever hear bombshell breaking news means another high powered corrupt republican slithered another crime crime would put anyone else prison years even life accountability opened door anarchy say fool insulated protected rich stand back watch eat one another wonder,1
44,,1
45,one surprised justice thomas actions,1
46,get sick tired politicians breaks people get shaft others get breaks one law government freakin weak comes politicians breaking law lying oath normal folks get breaks government longer people,1
47,come man time impeach judge thomas,1
48,serious clarence sexually assault anita hill countless women thomas removed anything election fraud cases clearly conflict interest since wife firmly believes election stolen,1
49,oh lindsay sooooo scared,1
50,grease ball tactics par course maga republican clowns,1
51,birds fa feather stick together crooks,1
52,clarence thomas corrupt,1
53,could ever seen thomas might obviously biased behalf l g stopped sarcasm obviously thomas going cover butt wife involved justifiable reason block l g testifying one needs impeach thomas today bar trump ever allowed run office get vote please,1
54,nothing fishy lies sarcasm,1
55,another reason get thomas still sitting member wife traitor insurrectionist,1
56,created equal right prosecute thomas graham end life long corruption court appointments working class able anything blocked let public office sit subpoena th public office help end eliminate corruption elected offices must enforce request elected give information oath work us accountability eliminate seeking office power grifting self enrichment prosecute plead th elected years every th envoked publically held elected office private sector onlt must elimated public setting dealing govt business work us,1
57,guess trump evidence thomas want see videos hear audio tapes whats done dark always come light smh many would risk showing integrity,1
58,oreo fing cookie,1
59,privilege politician white men getting way,1
60,republicans tough crime commit,1
61,lindsey much say want tell courts wanted overturn election afraid seriously trying best go one law lindsey including,1
