,text,COMMENT_COUNT
0,elhamdlillah ya rabbi,1
1,cant say nurses hospitals fear losing grip power need nursing schools full next cheap labor,2
2,going give motive hipaa laws actually apply situation state motive,1
3,two registered nurses,1
4,comments crack hate guns want guns banned move california criminals guns law abiding citizen,1
5,protection medical workers patients corporations care money money money money always valued human life country god protect nurses doctors,1
6,keep voting democrat get crime ridden cities prosecutions please go polls fire idioatic democrat policies,1
7,dallas hispanic male years old parole girlfriend ex giving birth trying hold hostage take baby shot nurses trying protect patients,1
8,know media playing clean even confirm kind employees rns many rns doctors targets violence hospitals media want post another story shows dangerous hospital staff gonna much justification raise,1
9,welcome texas,1
10,native texan one day leaving state,1
11,government must something gun violence control praying families person killed hope justice served without bond,1
12,million guns us surprising violent people get hands guns commit violent crimes,1
13,active shooter killed,1
14,tell us race shooter voted,1
15,hey okay responsible gun owner background checked psychological state diagnosed sure good christian republican family complete denial overall good american pie family goes trial judge lenient set exemplary human back streets keep shooting away people ok prayers lives back normal like never happened fkna,1
16,right wing terrorists doubt,1
17,nurses need able carry work,1
18,know amazed let somebody shoot kill two people wound arrest supposed kill ass make shooters victims roll police officer know kill people like kids something arrest kill asses promote supposed reap sow wants talk got mental problems get puppy kid nobody loves bull crap wants victim kill two people,1
19,oakcliff known,1
20,unbelievable sorry nurses families,1
21,aim little higher next time done,1
22,dude parole ankle monitor aggravated robbery nestor hernandez,1
23,sincere condolences families victims may rip heartbreaking,1
24,thank u nurses everything u,1
25,sad,1
26,safe two people got shot,1
27,time teach criminals lesson bringing guns border bored time legal immigrants take back home government fell government failed learn gun violence keep happening presently cause leaves people,1
28,every day fox claims crime california fox lies lies lies highest violent crime florida texas arizona,1
29,nobody considered stop sharing shootings publicly nobody else think people hear someone thinking might act thoughts exposure anything makes less scary never thought id live country normal im disgusted something needs seriously change shouldnt thought run head shooter comes grocery store cant imagine children time like pathetic nothing done,1
30,beware haters racists hopelessly ignorant maggots disrespect disdain constitution ones think rights rampant comment section free speech right exposes,2
31,nurse dallas shooting happened labor delivery unit shooter trying abduct child dont know child two nurses tried stop shot head,1
32,,1
33,say shooter get medical treatment know constitution given rights every person right due process remember even multiple witnesses shooting court person presumed innocent proven guilty ask know even rights would scenario say person found insane person guilty insanity sentences different hillbilly justice law,2
34,gun men terorist muslim,1
35,must seen bill hearing money sent ukraine,1
36,little nestor u citizen illegal immigrant,1
37,texas goes people homes shoot fun games someone back play counterstrike peoples backyards bad idea,1
38,took meds away became addicted another part opioids crisis going past couple years,1
39,god blessing anyone two people dead much like brains heads logical reason people say stupid things arent people embarrassed simpleminded,1
40,got love nd amendment right letting anyone carry gun mr abbott,1
41,gonna keep happening remember pain causing refuse medicate addicts want get high still gonna get high everyone pain addict remember stop refusing treat pain become common finally time,1
42,suspect shouldnt custody executed immediately undeniable justice system needs reform,1
43,obvious texan enough guns good grief,1
44,wrong texas florida,1
45,mental health facilities country needs ramp,1
46,gun agenda fake complacent news media knows nothing happened,1
47,sad tragedy deepest condolences families,1
48,god bless affected violent tragedy,2
49,previously work,2
50,episcopal church helps poor church hospital depraved sad heart goes families heartbreaking homeless could shower episcopal church get food social services help medical help clothing vouchers church member selflessness church member support tireless search city get donation things needed realize value gives person needs makes feel worth something loved painful see,1
51,another day liberal,1
52,could motive look speech qultist find,1
53,w antimask antivaccine ndamendment calls violence insurrectionist tirades trump supporting republican political leaders like greg abbott made hospitals healthcareprofessionals targets gqp domesticterrorism r dems waiting call,1
54,world mad worse since closed due covid crap,1
55,news anymore,1
56,believe media government lied events multiple times agenda,1
57,goes show shouldnt fire white peoples jobs,1
58,dear lord please comfort bereaved name jesus,1
59,surprise hardly ever happens country person using gun kill innocent people motivedoes really matter motive might gun entered hospital killed two humans motive reason justify days people skip arguing debating grab favorite toy kill country drowning guns easy access weekly occurance almost guaranteed,1
60,easy nurse rip angels philadelphia usa,1
61,,1
62,always fear happening years nurse,1
63,thought town bad see safe,1
64,wonder dispropation black black crime talking,2
65,america,1
66,bet evil cops stopped,2
67,big question motive kill people duh big question big question whats root cause deadly violence media doesnt know lazy conduct investigative journalism want sensationalize atrocities,1
68,betty white,1
69,didnt tulsa almost thing happen like june year,1
70,church asleep needs wake pray lord jesus christ need holy spirit rain love us,1
71,oh look another fake shooting push gun control,1
72,glad get chance needs special inter departmental prison justice people charge look way,1
73,dallas gonna new chiraq,1
74,perhaps need bigger gun free zone signs smdh,1
75,another sad episode gun smoke america,1
76,robert francis rourke stand website beto follows biden liberal agenda addition two liberal democrats representing texas sylvia garcia veronica escobar need voted rourke opposes voter id supports early release bail supported de fund police beto marched blm rioted beto said nothing condemn violence supports biden tax increases convicts right vote prison gun control supports sanctuary cities supported biden open border policy est million crossed date guess pays fentanl pouring across border opposed wall rourke supports liberal class room curriculum young children critical race theory racist lgbtq gender identity teachers making decisons parents deserve know children school sex restrooms beto supports green new deal biden war oil freeze american oil production yet buying oil countries pollute environment taxpayer funds illegal aliens including college welfare immigrants beto rourke financed socialist george soros nuff said vote republican law order candidates greg abbott governor mayra flores congress,1
77,another shooting red state crime violence happens everywhere,1
78,idk hospital probably deserved,1
79,betty white,1
80,see news tell race yes black person fact news knows dont want tell white person would blow would trump supporter useless news tell truth much less facts channel called useless news live sad dont give stats black crime let people know percent crime black non working un educated non working ignorant people please people need hear facts lied useless nees,1
81,thanks nothing jesus amen,1
82,sorry victims families employees patients community really whole world every thing really affect us sorry people making stupid comments may victims rip may justice served,1
83,let keep pushing nd amendment rights bozos,1
84,looks like man like medical care getting place probably suffering pain get anything,1
85,police shot suspect taking another hospital give killer medical help hospital,1
86,taken different hospital,1
87,one political party wants common sense gun laws wants guns vote common sense,1
88,texas guns eh guys,1
89,democrat inspired terror,1
90,many citizens medical workers kill every year malpractice corruption definitely two,1
91,start photo perp know white,1
92,amazing usa incidents country,1
93,maybe throw guns problem yeah work,1
94,bull report anything information guy,1
95,sounds white,1
96,good thing emperor world one thing suspect would received would medical attention would blead scene scooped thrown away like garbage whatever people conscious clear,1
97,get killed nurse matters get shot makes news get poisoned employer mandatethat gets swept rug,2
98,need take guns store stop selling need opinion,1
99,refuse treat,1
100,knew long last sentence gave one next one already thinking planning mandatory death penalty shooters nation wide exceptions,1
101,took away meds understand insanity constant severe pain due physical problems immune disorders arthritis took little relief would literally go insane within weeks government taking away meds years less half two years ago suffer many people similar problems turned street drugs problems family change thc get proper medication anymore switch thc take away medications said murder innocent people reason knows person one thing clear prepared times,1
102,security officers inside hospitals sleep night home door locked hospitals doors open night long even patients,1
103,bible greatest book ever written last days prophecy babylon great america fallen praises high son black messiah gun society destroyed society elohim righteous judgment upon america wicked,1
104,someone get pain meds time,1
105,guarnteed shooter white male nationalist nra member,1
106,prayers,1
107,every american citizen buy firearm today may family protection crime rate explodes,1
108,bail shit b violent criminals need jail period see giving break non violent criminals thats,1
109,cut em perks,1
110,caugh taken another hospitalwth jail world live scary place,1
111,shooting everyday republicans want guns streets enough already raise right gun definitely need background checks,1
112,upset getting pills,1
113,one safe texas anyone buy gun time sorry,1
114,may rip,1
115,hospital workers terrible things deal smh even mind business work goodness,1
116,police needs rights nothing happen police also human lucky china,1
117,hospitals forced security guards every hospital entrance may hospital employees rip,1
118,love false flags,1
119,yes going everywhere isolated event meaning non us safe rip people,1
120,want see picture description shooter,1
121,welcome joe biden america really went hill fast,1
122,hmm treat shooter methodist,1
123,place safe anymore sad country going thru n things never going get better,1
124,,1
125,oxycodone addict,1
