,text,COMMENT_COUNT
0,funky keyboard riff solo part without baseline C G B F E G C G D A B C D Dmaj F sus G quarts F sus C quarts Fsus G quarts C G B F E G C G D A G A,1
1,Crazy well two drum sets play together clash,1
2,I fell like God probably Snarky Puppy play list Such talent come creator Love listening music,1
3,,1
4,Are tracks visually registered like track I find handful em Thx,2
5,Is Jack Conte I see mark,1
6,Best song album,1
7,wooowwww amazing love guys,1
8,Fantastic,1
9,I playing song least twice day last weeks everyday This song touches soul Thank,1
10,Brilliant Excited see hopefully Munich Monday,1
11,East River La Di Dah,3
12,What solo Chris Bullock amazed,1
13,Saw track played live Amsterdam week Absolutely blew away Great performance energy set,2
14,I imagine giant mess hell must sound balance engineering behind,1
15,Sensational The metals remind Lincoln Olivetti Robson Jorge This record references Brazilian rhythms like baio e samba I cant stop listening,1
16,You tell everybody groove I saw Maceo roots New Orleans festival yrs ago They played song least minutes grooving nobody wanted end That I feel song,3
17,Nice nice,1
18,,1
19,I love Jamison Ross drumming musical,1
20,My God spiritual experience,1
21,I felt little Chaka Khan Janet Jackson little COGIC end,1
22,That transition starting mainly keys like entering Super Mario level,1
23,I really like,1
24,que envidia la gente que ha podido disfrutar de esta grabacin todo en perfecta armona escuchando el audio dirias que hay varios bateristas teclados guitarras viento todo en perfecta sincronizacin hacindonos gozar de la msica MUCHAS GRACIAS,1
25,What amazing group musicians man feeling room playing together must pure elation,1
26,mmm yesss,1
27,,2
28,quebradeira,1
29,mad,1
30,I watched video dozen times puts smile face EVERY SINGLE TIME,1
31,Post Apocalypto Crypto Disco Mashup Sci Fi Fuscio Funk Or something like Snarky Evolution Continues really say,1
32,pure joy onwards,1
33,That I talking Love brought back Brecker Brothers days I definitely listening,3
34,Just think snarky puppy,1
35,The sound engineering incredible,1
36,That section Bob Mintzer vibes I handle SO GOOD,1
37,Frank Zappa still alive today would recruiting players ensemble,1
38,Absolutely unbelievable,1
39,So damn good,1
40,This like th time I listened I realized unnecessarily hard aux percussion goes They always adding much feel personality snarky tunes triangle playing nuts,1
41,The worst thing Snarky Puppy getting experience new song first time,1
42,Where people connect headphones I clueless set ups sorry I sound ignorant,1
43,chest,1
44,This band makes soooo happy This song particular illustrates happen incredible musicians put aside egos collectively make something meticulously planned sound incredibly free spontaneous joyful This reminds Brecker Brothers days days Weckl Pattatucci And Michel Colombiers Wings Or Klaus Ogermanns Symbiosis Miles Btiches Brew But cool record album front live audience For band listeners feed Must ecstatic I hope I hear next one happens This may slick jazzy Bach Escher Gdel intricate lines interacting mirroring counterpointing always compelling always driving This music Empire Central alive thriving And heartbreakingly beautiful Thanks making forget moment lost divided humans Capable great harm destruction also innate capacity cooperation co creation Viva Snarky Puppy,1
45,buildup insane Wouldn call driving music means came I driving I knew I cutting traffic,1
46,Spiritual performance outstanding,1
47,much Love Room,2
48,limb would like able get earphone sit listen good god satisfying listen,1
49,Ten points u find girl room,1
50,guy haha,1
51,FKJ MASEGO lol,1
52,They always come something Fresh They keep music interesting Felt good went church,1
53,I always find amazing long sessions without sheet music,1
54,around hear Ancients Vibes Faces Album EWF Snarky pulling GENIUS,2
55,,1
56,C Harris Although I would love see Double Bassist added hot band They could play lead licks Michael League solid anchor interchange way iVan Morrison band years ago works super well Van Nicky Scott Electric Alec Dankworth Double That would make nice round piece band Hell stop one eh Add another two Double Bassists bows top fingers guy,1
57,WOW listened guys first time blew away Thanks,1
58,Que maravilha ouvir isso eu estaria igual ao Martin certeza kkkkkkk,1
59,Question HOW MANY HOURS DID LARNELL LEWIS GET THIS TIME TO LEARN EVERY SONG,1
60,They took church end,1
61,This sick,1
62,This reminds We Like Here I excited hear rest album,1
63,Random thought Snarky Puppy plus Jacob Collier Can minds take,2
64,No Please Just stop Just,2
65,Robert Fripp watching XD,1
66,WHY WHY Just stop I need minuttes groove,1
67,The ending kinda funny lol,1
68,jazz beyond science template,1
69,Here transcription,1
70,At end look like Shaun got filled holy ghost Music good,1
71,homage paid Fred Hammond BLESSED IN THE CITY,2
72,You almost watch music Bands Venus Snarky Puppy MAR NO WAIT planet yet discover UNREAL CREATIVITY,2
73,I hoping praise break end checked time seconds left,1
74,Still got impression half musicians video playing I hear difference result In words maybe final mix decides instruments audible everything playing whole time,1
75,I tears beginning Jesus,1
76,The International Atomic Clock sets time Snarky Puppy Please come Sacramento I LOT drink Maybe tiny desk station I work CapRadio,1
77,This incredible FANTASTIC,1
78,I begin I love band I started listen show Glastonbury months ago amazing also simpler point simplicity I nobody I like share point view comparing Glastonbury This sounds great much hard process case lot ears catch lots instruments musicians I see sounds gets lost drummers percussionist guys keyboards cyntizaisers samplers guitars overkill doubt bunch genios though I stay smaller version band anytime,1
79,Whaou OMG I never hear sound performance lik I play play Replay At time discover new sound Respect God bless,1
80,The I watch video I love It might favorite video time Thank Mark Lettieri composing tune thank Snarky Puppy amazing performance,2
81,LARNELL The baddest man land,1
82,This legitimately best live music I ever heard I thank Snarky Puppy enough creating Incredible,1
83,sax solo makes pink floydish,1
84,I waited family members leave house I turned surround speakers max stood middle room danced heart The first time I max volume speakers year,1
85,,1
86,I definitely wanna visit studio day,2
87,Why cant I like Ive tried tried I find quite boring given talent offer More better case,1
88,Dark Lettieri,1
89,Who Jameson Michael talks break,1
90,I love everyone dancing,1
91,This really dope,1
92,guys better better day day,1
93,eh,1
94,Superfluous number guitarists drummers keyboard players competing Bad idea,1
95,daily bread,1
96,Damn experience,1
97,Sublime performance musicianship And several thousand hours Sonic Hedgehog clearly,1
98,Is video recording album,1
99,,1
100,,1
101,So amazing In personal opinion worship music sound like Shaun Martin go Thank Snarky Puppy,1
102,Nice trip Cheers,1
103,No matter many times I listen I cannot believe live Im saying Snarky Puppy faking theyre clearly human,1
104,I pry I get level excellence,1
105,How many drummers,1
106,fly,1
107,rickbeato please listen discuss,1
108,This master piece damnnn,1
109,One days get proper praise break SP gonna amazing,1
