id,author,thumbsup,text,# of replies,replies
UgzEAGtUyZkZGVIlzN14AaABAg,RichW,0,America is done. I cant even continue on in this insane mess.,0,[]
UgyhG97kisPOXPqi8uh4AaABAg,Mark Przekurat,0,"Why are we fighting our own Supreme Court?
It’s so frustrating",0,[]
UgwrADJCSntKSVXW3P54AaABAg,Wiskey Wiskey,0,That justice is a House Ninja,0,[]
UgxIpnUk-WauXPObgXt4AaABAg,JL B,0,Uncle Thomas justice.,0,[]
UgzpvEF4lqAQuk9vR5R4AaABAg,Sidney Mccarthy,0,"Clarence Thomas is a corrupt traitor and should be removed from the Supreme Court, same goes for justice beer pong and sister wife Barrett.",0,[]
Ugy0wuMiEXfa986IxuN4AaABAg,Shevawn Macdonald,0,America will not survive this we will all be under Marshall rule,0,[]
UgxlEZkDC8ml-couTRd4AaABAg,Heather Davis,0,Thomas hmmmmm who would have thought,0,[]
UgxEY-XaAH2r7-032al4AaABAg,covenant11,0,traitors helping traitors be traitors...,0,[]
UgwboD1V9Mpo9MJYecF4AaABAg,joe rogers,0,None of this should go before Thomas.Thomas is an Russian asset.,0,[]
Ugwq3PoVt6SciSSPNHJ4AaABAg,Eric Dickson,0,"You would think Thomas would be enterested in what Liningrad would say,so much for bi partisan judges and a rule of law",0,[]
UgxeeIpkhaL5uu9Otnp4AaABAg,Alex,1,shoot em,0,[]
UgwS_pYiQqzcA5_i15N4AaABAg,RightRightRight UhHuhUhHuh,0,Shocker.,0,[]
UgyfLolJkJ3mRjhqwm14AaABAg,Rafael Guerra,0,"Again""neutral"" Thomas😡😡😡😡😡",0,[]
UgxeRyAVhejMcH9IVcF4AaABAg,Adee Villa,0,"President Biden said it correctly, the Supreme Court has become an advocacy group for the republican party.",0,[]
UgxUcpcNU88wwLiPoXZ4AaABAg,TheGothicdolphin,0,"That SOB Uncle Tom of a Justice! He genuinely represents the most [S]upremely [C]orrupt [O]f [T]he [U]nited [S]tates. From his LIE-Filled nomination hearings defaming Anita Hill (not widely known there were two other women with the same allegations against Uncle Thomas)  to he and his wife's (Ginni) FEDERAL TAX Evasion, her current insurrection conspiracy and now aiding Lindsey Graham's cover up! John Roberts, get off your @$$ and take the vote to the ENTIRETY of Justices so AMERICA can  see if there's any JUSTICE LEFT in the highest court!",0,[]
UgwbNrPFtbJ0_PZm4ih4AaABAg,Ryan Olson,0,In my opinion the Supreme Court of the United States is a joke. Why isn't it called reach-around Court.,0,[]
Ugxq5439leV2893Ci0F4AaABAg,kpokpojiji,0,"Remember all that propaganda about ""American exceptionalism...?"" 🤣🤣🤣",0,[]
UgyjlR-B8t6aomoQqRl4AaABAg,Big Game,0,"Lmao, take stock in tissues, Democrats are gonna throw a little temper tantrum crying harder than a 3 year old.",0,[]
UgzGX8VQ6FXRIwf-ALV4AaABAg,Mantra Works,0,why is she sad though?,0,[]
Ugx2upOO26K6JQwRg1h4AaABAg,islandon22,0,"The FIX is in! GOP motto:
""IF YOU CANT LICK 'EM
 ..........TRICK 'EM!!!""",0,[]
UgxcruguSvi1rilFDj94AaABAg,dirtnbeer,0,"And this is a duh moment, we all knew something or someone was going to step up for Graham!",0,[]
UgzzlOd1wkg0OMQPE0p4AaABAg,Fred Jack,0,This sh!t is crazy we are going to run out of warfighters who want to fight for a country like this nobody 😤 Super MAGA... what the news,0,[]
UgwoFOVJRHxd68LCQIR4AaABAg,Lionel Jaftha,0,"American, your legal system is thoroughly CORRUPT.",0,[]
UgzZlE98g-_-jxZmNBB4AaABAg,Susan Caldwell,0,"Well if republicans get the house and Senate,,,this is the new subprime court ,,,we do no wrong and democrats will all be in jail, plus don't forget! You cross Trump, you will be in jail too ,,,just a really nice America",0,[]
UgxV_9CAEnV0LDmTgqR4AaABAg,Brent Ahern,0,What a disgrace,0,[]
UgzKJe2UPOy2QunEJvV4AaABAg,Roger Funk,0,But there was stuffed ballots in GA! I seen the video of the two man stuffing the box election night,0,[]
UgxkK-D5Q8GiBLz6-DB4AaABAg,Wondering IN NY,0,When did a judge become Graham lawyer?,0,[]
UgwJPje4U6QdPCa5EbN4AaABAg,roger peet,1,"You remember when Thump was using the Justice Department as his personal law firm ?
Now, the entire rebublican party is using the Supreme Court in the same way.
I call foul !",0,[]
Ugzoy6cqWU_wL0fWRFR4AaABAg,The King Maker,1,"""Look at me over here folks, I've given up being a judge long ago, I'm clearly just a political hack"" - Clarence Thomas",0,[]
UgxhN04V5DBemGb4bYZ4AaABAg,John Smith,0,"So Uncle Clarence came thru for the repubs.  Why am I not surprised?  As the orange Jesus would say, SAD!",0,[]
Ugx2h0mj8isoZixfYz54AaABAg,Tiffany Jack,0,One how is Thomas with his clear conflict handed these cases 2nd what can a politician be accountable for??,0,[]
Ugx5Nl4wv-s3azuae014AaABAg,DCM SR,0,WTF??!!,0,[]
UgzJIX5KZ30dypCAugF4AaABAg,jellyrollnorton,0,WTF?   This should be the top story across the board.,0,[]
UgzVXl9ofoEMN3-kgDx4AaABAg,Lithuanian Giant,0,Hillary didn't hide.,0,[]
Ugzsr8apoGqxesuhSJh4AaABAg,Sidney Mccarthy,1,This is BS justice thomas should not have been a part of this because his wife was a part of the treasonous actions to stop the certification!,0,[]
UgxVti4YZqL8YKN4bZ94AaABAg,Agent00Soul,0,And how is this not considered obstruction of justice?,0,[]
UgzGZCHmk8TdP2SYz7B4AaABAg,Greg Stewart,1,Oh my god that hag should retire.,0,[]
UgwF3z1OWUNqla5Tq0J4AaABAg,Waldemar Marchesi,0,"Lmao ! 
Only the judges that have a vested interest in the kangaroo committee, see it as an legitimate committee.  
This isn't a congressional committee this is a Nancy Pelosi committee that's  hand picked  by Nancy Pelosi.",0,[]
UgyeKNDfpCo8Hx0Nr6l4AaABAg,chris holbrook,1,Anita warned us. Hillary warned us. Biden has warned us. NONE has been wrong.,0,[]
UgxCrUb-DxiNmM_cevt4AaABAg,Omar Monelle,0,No man is above the law.....The right wing is past that minor technicality,0,[]
UgzVhKQwzYQGuC7KooF4AaABAg,Shining Trapezoid,0,G U I L L O T I N E S,0,[]
UgyjjUAVP9xWvGTByv54AaABAg,Tai Louie,1,Thomas is a traitor to democracy…,0,[]
Ugzz-AqMzmZq8RSkHmR4AaABAg,Cynthia Cole,1,WTF??!!,0,[]
Ugzwdz2tpRYrx_u1ukd4AaABAg,rodger Rodger,0,"This is my surprised face. It's the same one I have on whenever I hear
"" Bombshell!"" Or "" Breaking News!"" It just means another high powered and corrupt Republican has slithered out of another crime. A crime that would put anyone else in prison for years or even life. 
   When there's no accountability, you've opened the door to anarchy and they'll say, "" Have at it fool's"" and we will.
They're insulated,protected and rich. They'll stand back and  watch as we eat one another. Then wonder why.",0,[]
UgxXpa1UO912u_vf5Ut4AaABAg,Julesong,0,😡,0,[]
UgwWWAJtnDkK2KaI7Yt4AaABAg,lbennaugh,0,No one is surprised by Justice Thomas actions.,0,[]
UgwhSRPVuukhqh2f-9d4AaABAg,Richard Garcia,1,I get sick and tired of all these politicians that breaks... We the people get the shaft while others get the breaks... No one is above the LAW!!! Our government is so freakin weak when it comes to politicians breaking law or lying under oath... Normal folks don't get those breaks...🏴‍☠️Government that is no longer for its people...🏴‍☠️🏴‍☠️🏴‍☠️🏴‍☠️🏴‍☠️,0,[]
UgwndcYtDyhSSYll3ot4AaABAg,David Barnett,0,Come on man.  It is time to impeach judge Thomas,0,[]
UgztJFPPrxTlGN64Jup4AaABAg,Jacy G.,1,"You can't be serious!? How has Clarence ""I did not sexually assault Anita Hill or any of those countless other women"" Thomas not removed himself from anything to do with the election fraud cases. He clearly has a conflict of interest since his wife firmly believes the election was stolen.",0,[]
Ugy8i1I304jnE8o5gR54AaABAg,Strat-O-Blaster,0,Why oh why is Lindsay sooooo scared?,0,[]
UgxBxTsjCY-A156N6yR4AaABAg,thebay5,1,Grease ball tactics. Par for the course with maga Republican clowns,0,[]
Ugw_R6m4dDcNEXthlyp4AaABAg,Letha Bershell,0,Birds of a fa feather stick together they're all crooks,0,[]
UgzLhI440yRUaZjz3pF4AaABAg,Moreno Moreno,2,Clarence Thomas is corrupt,0,[]
Ugzz_AyKeWx6O8BrP1l4AaABAg,Helen Alden,0,"Who could have ever seen Thomas might be obviously biased on behalf of  L. G.?  (Stopped with Sarcasm?!)
Obviously Thomas is going to cover his butt because his wife was involved.
BECAUSE THERE IS NO JUSTIFIABLE REASON TO BLOCK L.G. FROM TESTIFYING.
SOME ONE NEEDS TO IMPEACH THOMAS TODAY....BAR TRUMP FROM EVER BEING  ALLOWED TO RUN FOR OFFICE.
GET OUT AND VOTE PLEASE!!!",0,[]
Ugzi1U8RyLh-saORv4R4AaABAg,Samantha Simental,0,Nothing fishy here. Lies sarcasm.,0,[]
Ugz6_fS7zwCX2TRm7QZ4AaABAg,Francisco Montes,0,"another reason to get Thomas out of there, why is he still a sitting member????? his wife is a traitor insurrectionist.",0,[]
