,COMMENT_ID,AUTHOR,DATE,CONTENT,CLASS,video_id
0,z13uwn2heqndtr5g304ccv5j5kqqzxjadmc0k,Corey Wilson,2015-05-28T21:39:52.376000,"<a href=""http://www.youtube.com/watch?v=KQ6zr6kCPj8&amp;t=2m19s"">2:19</a> best part﻿",0,KQ6zr6kCPj8
1,z124jvczaz3dxhnbc04cffk43oiugj25yzo0k,Epic Gaming,2015-05-28T20:07:20.610000,wierd but funny﻿,0,KQ6zr6kCPj8
2,z13tczjy5xj0vjmu5231unho1ofey5zdk,LaS Music,2015-05-28T19:23:35.355000,"Hey guys, I&#39;m a human.<br /><br /><br />But I don&#39;t want to be a human, I want to be a sexy fucking giraffe.<br /><br /><br />I already have the money for the surgery to elongate my spinal core, the surgery to change my skin pigment, and everything else! Like this post so others can root me on in my dream!!!!<br /><br /><br />Im fucking with you, I make music, check out my first song! <a rel=""nofollow"" class=""ot-hashtag"" href=""https://plus.google.com/s/%23giraffebruuh"">#giraffebruuh</a>﻿",1,KQ6zr6kCPj8
3,z13tzr0hdpnayhqqc04cd3zqqqjkf3ngckk0k,Cheryl Fox,2015-05-28T17:49:35.294000,Party Rock....lol...who wants to shuffle!!!﻿,0,KQ6zr6kCPj8
4,z12pcvix4zedcjvyb04ccr1r0mr2g5xwyng0k,PATRICK_TW,2015-05-28T16:28:26.818000,Party rock﻿,0,KQ6zr6kCPj8
5,z13rcnlyamexujnf022vcrb5qouetpjz404,Brian Brai,2015-05-28T08:58:10.905000,Shuffle﻿,0,KQ6zr6kCPj8
6,z13oe5si1ouygx2dv22vcrb5qouetpjz404,Brian Brai,2015-05-28T08:57:27.399000,Omg﻿,0,KQ6zr6kCPj8
7,z123izobdqqyszmsx231cfuahxfjwjmpk04,Alex DeFeo,2015-05-28T04:15:22.615000,This song is just really fun ﻿,0,KQ6zr6kCPj8
8,z13ghh0z5z3li1q1i22jdjma0xn2z535404,Giovanni Jimenez,2015-05-28T03:52:56.877000,Awsome<br />﻿,0,KQ6zr6kCPj8
9,z13lwnoznomnynobc04cd5oylkz4vbngkhk,Silvia Bascur,2015-05-28T03:26:23.957000,wow!!!!!! increible song!!!!!!!!!﻿,0,KQ6zr6kCPj8
10,z12wctyrfvndsj32n23yhrhrxlyiulpcn,Michael Whiteside,2015-05-28T03:08:19.077000,I love this song so much﻿,0,KQ6zr6kCPj8
11,z12qgle4jsutshh1422kwjzwdkneerd4004,yenis maría Rodríguez,2015-05-28T01:14:19.847000,2015 LIKEEE﻿,0,KQ6zr6kCPj8
12,z13rtrlxatfpfruxj04cd1hbizb4hv5jmf0,Alex Martin,2015-05-28T00:37:36.183000,I miss when people dressed like this.﻿,0,KQ6zr6kCPj8
13,z12luhmz2trvu1s0y22xyfhq2lbgwhkxm04,Alex Jansen,2015-05-28T00:04:06.940000,2011- the last year of decent music.﻿,0,KQ6zr6kCPj8
14,z12afxix2xnyhxaon04ccdtofrj3h10ygrk0k,Aiden Hill,2015-05-27T23:10:57.437000,Best song ever!!!!﻿,0,KQ6zr6kCPj8
15,z12rt5qylz3ny5qdv221epkhvsvxwlgjz04,joe pepin-leblanc,2015-05-27T22:19:11.429000,"super nice, love musique﻿",0,KQ6zr6kCPj8
16,z12ogdfjckevwjtz504chrzytqeqthybckw0k,bilal kenno,2015-05-27T20:47:16.351000,wowwwwwwwwwwwwwwwwwwwwwwwwwwwwww﻿,0,KQ6zr6kCPj8
17,z13fzxmg0si1cpsc323silmpnpuasflls,SoulInChains00,2015-05-27T18:28:25.926000,PARTY ROCK (8) ~﻿,0,KQ6zr6kCPj8
18,z13xjvjgxqbcgdeni22wxfroqsvutpyb004,Phương Linh Nguyễn Ngọc,2015-05-27T17:28:08.014000,Thumbs up if you watched it in 2011﻿,0,KQ6zr6kCPj8
19,z12nf31pdvqmjdoyt04cdn3xzvajgrihnfo,Gonzalo Ferrare,2015-05-27T16:50:10.276000,this is increidebl﻿,0,KQ6zr6kCPj8
20,z12uwpdgeqnex5wwi04cjlkotmfeuv54zzk0k,‫אסף שמש‬‎,2015-05-27T16:06:08.781000,LMFAO!!!!!!!!﻿,0,KQ6zr6kCPj8
21,z125v3ozoqenvthaz04cdtajsmzwgxkwxug0k,Henri Kameron,2015-05-27T15:44:45.019000,just :( superr!!!﻿,0,KQ6zr6kCPj8
22,z12eg5zqxqbdfdzcn22uwxoqxovhhz1ke,Lukas Ogonowski,2015-05-27T14:01:10.337000,2015!! LLIKEE!!﻿,0,KQ6zr6kCPj8
23,z13yyrro2wmcshswh04cd3saivu1xdprerk0k,LoL Games,2015-05-27T13:37:19.404000,Yeah! Let&#39;s start the party!﻿,0,KQ6zr6kCPj8
