id,author,thumbsup,text,# of replies,replies
UgyAVMOl8OQUi-RoBh54AaABAg,zoomlensshow,0,Crazy how well the two drum sets play together/don't clash.,0,[]
Ugwmer_nvfZvQZYymTN4AaABAg,Rudy Pry,0,"I fell like God probably has Snarky Puppy on his play list... Such talent can only come from the creator.
Love listening to their music!",0,[]
UgzM1G7dCoom3YKTnel4AaABAg,Mladen Zivkovic,0,https://www.youtube.com/shorts/8noX0Fu36fI,0,[]
UgwX15tneuS0JK_H0Ch4AaABAg,TheProf82,0,"Are all 16 tracks visually registered like this track? I only find a handful of em

Thx!",1,"[""They're releasing them slowly one by one""]"
Ugw_3QlxWv_vWnZbEOt4AaABAg,steamer482,0,Is that Jack Conte I see at the 8:22 and 10:48 mark????? :),0,[]
UgweGUCRxk84UJ94XoN4AaABAg,samuelhallsweden,0,Best song on the album!,1,['Keep It On Your Mind?']
UgyEEKZGX0zlttHfrzl4AaABAg,obadia taiwo,0,wooowwww... amazing i love you guys,0,[]
UgzqzZvHOHNKRfgkPJB4AaABAg,Paolo Masse',0,Fantastic,0,[]
Ugw-Ip5K6hY8KadzavN4AaABAg,Keith Major,0,I've been playing this song for at least twice a day for the last 3 weeks everyday .... This song touches my soul! Thank you ...,0,[]
UgywIhjsFN6dM1Sp8pp4AaABAg,MartinBasst,0,Brilliant! Excited to see hopefully the most of you in Munich on Monday.,0,[]
Ugwap7iZeMaEf3HCSRd4AaABAg,Dave Natale,0,East River La Di Dah!,0,[]
Ugz7yh5-GdXDDJ7_Wc14AaABAg,Guilherme Dantas,1,"What a solo from Chris Bullock, i'm amazed",0,[]
UgwqHHAqXX21dEElqW94AaABAg,TheProf82,0,Saw this track played live in Amsterdam this week. Absolutely blew me away. Great performance and energy all through the set,0,[]
Ugy1fUVrfts3AGWq4yt4AaABAg,Johann Lefering,0,I can only imagine what a giant mess of a hell it must be to do the sound balance and engineering behind all this.,0,[]
Ugy0IoSYbGit0VmSxcJ4AaABAg,FP,0,Sensational. The metals remind me of Lincoln Olivetti and Robson Jorge. This record has a few references to Brazilian rhythms like  baião e samba. I can’t stop listening to it.,0,[]
