id,author,thumbsup,text,# of replies,replies
UgySxNLGBmkYrsDnapt4AaABAg,Ali,0,Elhamdülillah ya rabbi,0,[]
Ugxn6a-JIJlcsZv7Zd94AaABAg,J NS,0,They can’t say nurses because the hospitals fear losing a grip on power. And they need nursing schools to be full of the next cheap labor,0,[]
UgydfG-SlyXqgCGqFv94AaABAg,Terry,0,"They're not going to give you a motive, here's where HIPAA laws actually apply to a situation. They can't state the motive.",0,[]
UgytJ_XGegcbdGngPIF4AaABAg,smc130TX,0,Two registered nurses!!!,0,[]
UgwIPLV5wdJ4FKN3zrN4AaABAg,ASS KETCHUP,0,"These comments crack me up. If you hate guns and want guns banned, then move to California where ONLY criminals have guns and the law abiding citizen doesn't!",0,[]
UgxczmMuLxL1XOTwMgx4AaABAg,RICHARD NOPEDJI,0,"No protection for our medical workers and patients. All corporations care about is money. Money, money, money is always valued above human life in this country. God protect our nurses and Doctors out there.",0,[]
UgzvAFedMbKm6xHDK9J4AaABAg,Oscar Medina,0,Keep voting Democrat and this is what you get!! Crime ridden cities!! No prosecutions!!! Please go to the polls and fire these Idioatic Democrat policies!!!,0,[]
UgyoBIPUJPTuiAXsHA54AaABAg,M K,1,"I'm in Dallas. Hispanic male, 30 years old. On parole. His girlfriend or ex was giving birth and he was trying to hold them hostage and/or take the baby. He shot the nurses for trying to protect the patients",2,"['@Terry that’s the apparent story I’ve heard from employees at the hospital. It is so sad. Everyone is traumatized. This happened in the postpartum area of labour and delivery.', ""You're a little bit off on the story, which may not come out due to patient privacy laws.""]"
UgzcgRvpsfHrxRROyYF4AaABAg,Ace,0,"You know media is playing clean up when they don't even confirm what kind of employees they are. If they're RNs, too many RNs and doctors have been targets of violence in hospitals and media doesn't want to post another story that shows how dangerous it is. Hospital staff gonna have too much justification for a raise.",0,[]
UgxHhQoz2Wt0GzOVlIh4AaABAg,Cat Juice,1,Welcome to Texas,0,[]
UgyiVIixAI9TMPjF61x4AaABAg,Christian Brother,0,"Native Texan here, one day I am leaving this state.",0,[]
Ugze4EOw2Cha_HqtcXB4AaABAg,Lynnie Springer,1,The government MUST do something about gun violence. It is out of control. I am praying for the families of the person killed and I hope that justice is served without bond.,3,"['@David Grover that was a different time in general the mental health of the average American back then was probably much healthier than now', 'Government is most likely a causal factor. This effectively didn’t happen back when you could order machine guns, explosives, and cannons through the U.S. Mail.']"
UgzptU3_NdUFUIyy50l4AaABAg,See my Playlist of gun violence updated daily,0,There are 400 million guns in the US. Is it surprising that violent people can get their hands on guns to commit violent crimes?,0,[]
UgztJAgSJxd-keImw_V4AaABAg,Brenda Eaves,0,ANY! ACTIVE SHOOTER SHOULD “BE KILLED!” ;-|,0,[]
Ugx_Xxydl3YwJC3nEn94AaABAg,Shaylin Monk,0,Can they tell us what race the shooter was and who they voted for,1,['Hispanic male in his 30s']
UgxL09c0-Sea5BplFYN4AaABAg,nsx,0,Hey its okay...he was a responsible gun owner who didn't have to have his background checked and psychological state diagnosed and I am sure he was from a good christian republican family in complete denial.....overall good all American pie family.  If he goes to trial the judge will be lenient and will set this exemplary human back on the streets to keep shooting away people..but  it is ok...a few prayers and your lives will be back to normal..like it never happened........fkna!!!!,0,[]
UgwbPudtYPXgitOXDqh4AaABAg,Boxy Brown,0,"More right wing terrorists, no doubt",0,[]
UgzS0jRFoWZAj1xWc8p4AaABAg,Zack Miller,1,Nurses need to be able to carry at work.,0,[]
UgyK5s1zsHXyKy62h8V4AaABAg,Walter Osborne,0,YOU KNOW I'M AMAZED AT HOW YOU LET SOMEBODY SHOOT AND KILL TWO PEOPLE BUT YOU WOUND HIM AND ARREST HIM YOU SUPPOSED TO KILL HIS ASS TOO. YOU MAKE THESE SHOOTERS VICTIMS IF YOU ROLL UP AS A POLICE OFFICER AND YOU KNOW THEY KILL PEOPLE LIKE THEM KIDS OR SOMETHING YOU DON'T ARREST THEM YOU KILL THEIR ASSES TOO. AND I DON'T PROMOTE THIS BUT YOU SUPPOSED TO REAP WHAT YOU SOW THEN HE WANTS TO TALK ABOUT HE'S GOT MENTAL PROBLEMS AND HE DIDN'T GET A PUPPY WHEN HE WAS KID AND NOBODY LOVES HIM BULL CRAP AND HE WANTS TO BE THE VICTIM BUT HE DIDN'T KILL TWO PEOPLE,0,[]
